averageRating,numVotes
8.2,40616
7.3,15869
6.4,21080
7.8,13258
8.1,52308
8.3,103202
7.7,10979
7.6,10003
7.9,83636
8.1,16958
8.1,11509
8.2,35953
8.0,49728
8.2,92958
7.6,15662
8.1,13121
8.3,150007
8.1,74632
8.1,44661
7.5,10542
8.2,24039
8.1,42842
7.9,12145
8.4,20622
7.7,43411
8.0,54726
7.6,12596
7.7,12861
7.3,11187
7.3,11883
8.5,154648
7.5,43157
7.8,60968
8.3,133415
7.5,10756
7.7,16666
7.6,11819
7.9,39763
7.4,16214
7.6,11157
8.2,10903
7.1,21747
7.8,23747
8.0,10768
8.0,12086
7.6,14496
7.8,53406
7.4,10035
7.7,27478
7.9,75555
7.8,13482
8.1,87600
6.8,15783
8.0,24930
7.3,14170
7.7,48311
7.8,40725
7.7,12192
7.7,19549
7.9,29235
7.8,16260
7.9,10541
8.5,200693
7.9,18633
8.0,19418
7.6,11711
7.1,13687
7.6,11489
7.7,16661
7.6,12395
8.1,31893
7.7,11438
7.6,170773
7.9,44989
7.9,18840
7.9,52241
7.8,13355
7.5,11148
7.8,44147
7.9,21861
8.1,272372
7.4,10401
8.1,101042
7.9,17772
7.7,11481
8.0,11959
8.1,25006
7.9,39854
8.0,359523
7.8,11886
7.6,15346
7.8,84038
7.5,17047
8.0,82762
8.5,188811
7.9,50043
7.6,10843
7.9,60029
7.4,121937
8.1,114446
8.1,25589
7.5,11178
8.3,375393
7.2,112622
7.5,14103
7.7,19806
7.8,17890
8.0,143454
7.7,11318
7.7,14435
8.0,22535
7.4,30072
7.3,21996
7.3,123427
8.5,492267
7.3,18399
7.4,12410
7.7,20919
7.6,14796
8.0,14062
7.5,10186
7.2,21743
6.4,75877
8.3,24286
7.7,13251
7.1,10279
8.1,12181
8.0,19651
7.9,55618
8.0,62830
8.3,133412
7.8,22151
8.0,54655
8.0,39895
7.7,25001
7.6,19156
7.6,11225
7.9,28989
7.7,12656
7.5,11720
8.0,32967
7.7,10058
7.4,13572
8.4,17231
7.6,10024
7.9,31521
8.0,21030
7.5,11010
7.8,13097
7.6,40554
6.5,11117
7.9,22975
7.9,75437
7.7,25787
7.8,20858
8.6,374727
7.8,17742
8.1,17868
7.8,20092
7.9,87333
7.5,17316
8.1,21332
7.1,10512
7.4,20924
7.6,13278
7.8,19981
7.6,16554
7.2,13850
7.9,14650
7.9,38414
7.9,14666
8.0,30207
7.5,13729
